OBJECTID,NEIGH_NO,Neighborhood Subtype,Neighborhood Name,Neighborhood Type,Area Acres,Area Square Miles,ACS Vinatage,Total Population,People of Color,Percent People of Color,Total Households,Percent less than a high school education,Percent bachelor degree or higher,Total Housing Units,Percent 1-unit detached,Percent of Population Speaks a Language Other than English,Percent of Population Speaks English Less than Very Well,Percent of Households with Limited English,Renter Households,Percent of Renter Households,Owner Households,Percent of Owner Households,Percent of Population 18 years and Over with a Disability,Percent of the Civilian Noninstitutionalized Population without Health Insurance,Percent of Workers Taking Public Transit,Per Capita Income,"Percent of Households with Income $100,000 or more","Percent of Family Households with Income $100,000 or more","Percent of Nonfamily Households with Income $100,000 or more",Percent of Population with income to poverty ratio below 2.0,People per Acre,Households per Acre,Housing Units per Acre,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more","Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Percent of Primary School Students (grades 1-8) Enrolled in Private School,Percent of Secondary School Students (grades 9-12) Enrolled in Private School,Percent of Households with 1 or more Persons with a Disability,Primary School Enrollment (grades 1-8)  in Public School,Primary School Enrollment (grades 1-8)  in Private School,Secondary School Enrollment (grades 9-12) in Public School,Secondary School Enrollment (grades 9-12) in Private School,Households with 1 or Persons with a Disability,Shape__Area,Shape__Length
1,1,Council District,Council District 1,CD,13722.0245368146,21.4406633387729,5Y24,109866,41345,37.6,49642,4.2,59.1,53043,50.8,19.1,6.5,2.7,21387,43.1,28255,56.9,12.9,3.9,9,75952,59.3,72.1,43.9,17.7,8.00654449387129,3.6176877447505,3.86553746917531,6475,19112,15300,39.7,55477,54389,68521,8444,357,10642,279,720,8713,12190,25520,24122,18051,3591,50335,62855,21572,28569,5632,5032,7849,12848,11910,5394,2711,571,26959,7772,10528,7676,1024,3709,8643,13938,15125,6325,1902,89626,11561,108738,4277,103391,19767,6708,1356,236,130,795,195,9918,21410,5259,85164,107170,75499,67577,39593,29440,18402,10582,38102,7899,10478,2525,4732,11292,10927,75454,2696,92598,25044,67081,3345,108753,5205,3505,3579,2358,2974,1676,89456,25520,804,146,181,302,175,73722,6129,2034,59698,26109,20619,69880,37099,32781,20.4,15.1,18.8,6198,1586,3190,568,9357,597731388.823334,246798.997380131
2,2,Council District,Council District 2,CD,8154.26811673076,12.7410439323918,5Y24,111335,71380,64.1,45494,12.3,50.6,48975,49.1,37.5,19.3,13.5,22939,50.4,22555,49.6,13.7,6.3,14.1,61064,49.5,61.3,33.6,24.9,13.6535858775069,5.57916410752503,6.00605711008129,5517,19649,17153,38.5,57273,54062,39955,17928,419,32733,374,853,8885,10188,24843,20651,15509,10180,41801,60345,17198,24855,8538,8862,6595,16495,12519,4493,2180,865,24046,6596,8146,10097,2738,4853,8756,10933,11594,6636,2722,89840,12325,110574,6971,105818,39706,20428,6134,805,135,4194,1000,11473,15569,4366,82619,108597,80440,60677,47920,22530,15236,6943,32177,11747,9767,2497,5586,11632,12010,74533,2738,93493,28751,64661,2887,109283,7391,7981,4110,2670,3481,1601,82049,24843,2479,610,838,787,244,71415,7810,3192,56853,21794,15721,67605,35875,31730,17.9,6.1,22.6,7305,1590,3647,237,10302,355199919.164261,148955.447218523
3,3,Council District,Council District 3,CD,4966.434090268,7.76005326604375,5Y24,110906,40701,36.7,62115,2.1,73.9,66186,23.4,18.9,3.9,3.2,41048,66.1,21067,33.9,12.6,3.8,15.3,103876,55.4,75,45.9,17.8,22.3311128234494,12.5069615082012,13.3266643223344,2885,10743,13364,36.5,58411,52495,70205,7334,414,14251,357,511,9111,8723,19526,42589,30946,1892,65829,72960,24759,22155,11171,15800,10091,21590,11515,3009,1553,443,15490,8199,23473,18934,1538,10815,20850,14695,8119,5282,2354,98928,12436,110060,4157,108021,20408,4215,1958,410,256,965,327,17319,14436,3608,89043,109052,52020,47179,61873,34392,14646,19529,53251,7371,9631,1336,2448,6809,9802,86799,1854,101680,23377,78141,4104,109672,6607,4528,1740,2438,2799,1439,90121,19526,1153,132,512,391,118,85225,7827,3098,70728,31045,23921,81130,44596,36534,36,43.1,17.7,2982,1676,1424,1077,10971,216337868.972046,99186.8003112691
4,6,Council District,Council District 6,CD,7558.28586841618,11.8098216694003,5Y24,105495,27880,26.4,50707,1.2,79,53602,48.7,13.1,2.4,2,22974,45.3,27733,54.7,8.8,2.4,9.4,99285,66.8,84.6,51.7,10.1,13.9575297675406,6.70879626449291,7.09181961798862,5475,17005,13773,38.3,51786,53709,77615,1497,112,10384,116,574,8173,7024,23039,27668,19164,999,65192,65796,26510,24587,6164,4772,7523,14786,11700,3617,1206,454,26106,8128,11902,7188,1080,4180,10376,13341,13967,6765,2078,88184,7744,105189,2534,100020,13116,2360,1011,263,107,599,42,8186,20512,4935,82501,105102,66241,65223,39879,33890,19500,14304,49963,5184,7837,1447,2665,10812,10341,74717,393,90478,20741,69680,2584,104992,3124,2843,1112,1220,1475,847,94371,23039,596,125,131,232,108,73823,4384,1729,63269,29489,24194,72262,37453,34809,22.3,21.9,14.6,5321,1530,2779,778,7400,329238932.426178,139466.460418479
5,4,Council District,Council District 4,CD,6338.84244715242,9.90444132367565,5Y24,106188,39388,37.1,44017,1.2,80.6,48376,42.1,22.7,4.8,3.6,24689,56.1,19328,43.9,9.3,3.5,14,76852,55.6,82.7,34.3,21.8,16.7519544593986,6.94401231249621,7.63167729807385,3895,14551,10912,33.6,51703,54485,66800,2546,545,20219,198,596,7824,7460,19118,24899,17893,794,52335,60151,20247,20097,8422,7833,8505,18089,8757,2496,1496,561,20360,5030,13009,9708,941,7191,8434,9059,9024,7710,2599,81189,7513,106042,3706,102293,23205,4960,1582,106,197,1252,27,12661,13054,3036,64966,95019,56798,50291,44728,24474,15806,8531,42332,7042,8802,1297,2143,8582,7583,80725,11169,93658,28685,64953,3337,95430,8491,4557,2006,1960,2502,1284,74630,19118,672,77,79,356,160,68637,11002,4445,54818,22582,16808,71498,35334,36164,30.6,21.8,14.3,4178,1840,2725,759,6285,276119976.999268,107115.088015464
6,5,Council District,Council District 5,CD,8749.95120006082,13.671798750095,5Y24,107175,41821,39,48829,4.6,61.8,52334,46.2,23.9,7.2,4.7,24771,50.7,24058,49.3,13.7,5.1,11.6,71889,53.5,69.8,36,17.1,12.2486397408999,5.58048826599863,5.98106192862381,5697,16417,17227,39.1,54350,52825,65354,6490,192,15117,339,738,8517,10428,23806,25023,17727,3873,52079,62301,19548,28819,7235,6270,6650,17880,11785,3781,2318,339,24195,5208,12574,10251,1549,3696,10265,13974,12405,5679,2810,90099,12321,106513,5478,101478,24218,7314,2288,576,251,886,575,12186,16978,4650,84296,105319,69867,58531,46788,26135,16619,9020,39584,8034,9117,2830,4325,9922,12367,73531,1856,92111,25115,66919,3029,106387,5328,4598,1749,2280,2840,1418,88174,23806,1458,116,302,637,403,72133,6219,2089,59715,25031,19510,69635,37465,32170,24.6,20.2,21.1,4941,1614,2192,554,10302,381147874.275299,97827.0029884916
7,7,Council District,Council District 7,CD,4015.26610864629,6.27385329475983,5Y24,104454,49031,46.9,63091,2.2,76,71831,11.4,30.1,5.8,5,46827,74.2,16264,25.8,9.9,4.1,10.1,114665,64,83.4,56.5,14.9,26.0142160379043,15.7127817416989,17.8894743352931,2083,6571,10593,34.7,55808,48646,55423,4198,346,28803,85,764,6791,8044,17240,45851,35437,1900,66346,74353,29523,19243,7504,20396,12776,18883,8939,2230,1495,507,8164,4367,18674,40550,2340,15300,23863,15563,4873,2705,787,94640,9414,102672,4258,102371,30843,5914,3125,436,462,2086,141,14934,11580,2847,87343,99686,41820,32354,67332,40367,14378,25917,56534,5552,9584,1109,2460,4164,7540,87290,4768,98258,19450,78624,3385,101226,5359,3101,1434,2158,1776,1230,86168,17240,625,40,282,169,134,84201,6803,2224,72562,36347,24974,81034,44534,36500,27.4,35.4,12.6,2121,802,656,359,7960,174904991.693451,99616.6981049442
8,0,Outside Centers,Outside Centers,CNTR,36893.2323128383,57.6456754888098,5Y24,401930,138650,34.5,170020,3.2,70,179922,62.8,18.4,5.7,2.8,60200,35.4,109820,64.6,10.2,3.4,8.7,90398,66.3,79.5,47.3,12.9,10.8944100259856,4.6084332909165,4.876829399884,22305,72659,62037,40.1,200092,201838,263280,18867,964,54572,560,2370,31186,30131,97104,72916,50497,9745,213207,229145,81684,98219,19920,12080,27293,58880,39494,13126,6803,1865,112942,22669,32113,11626,3032,6867,24805,42053,52466,32046,11783,325217,33226,399337,13630,379625,70007,21520,4829,853,334,3198,444,23927,77130,19420,304398,395846,290128,276146,119700,112752,77186,34522,156776,24946,32403,7174,12590,43429,43184,267234,6084,337052,92866,243831,9942,397364,14803,10617,6516,6253,8484,4760,345931,97104,3015,518,856,1104,537,260705,16636,6414,216216,96426,77495,255303,132505,122798,27,23.6,16.7,22211,8203,11434,3530,28357,1607069224.15489,1039959.74506066
9,100,Urban Center,Pinehurst-Haller Lake,CNTR,205.126779159155,0.32051059243618,5Y24,3241,1682,51.9,1600,14.6,48.5,1600,37.4,40.3,18.5,11.1,785,49.1,815,50.9,27.3,10.3,11.7,52546,38.6,64.9,21.9,29.2,15.7999848351606,7.80005422285005,7.80005422285005,122,519,403,41.1,1598,1643,1559,292,12,455,0,0,111,812,619,981,744,372,1236,1898,356,1075,223,142,136,705,550,47,104,0,598,106,682,202,50,97,308,617,443,64,71,2722,744,3241,334,3119,1256,576,177,117,34,0,26,458,420,183,2551,3237,1947,1576,1661,617,402,215,833,382,272,110,313,318,369,2319,4,2813,721,2092,182,3205,292,155,19,319,63,89,2268,619,65,0,0,44,21,2246,270,99,1775,820,387,2019,1116,903,0,0,39.9,241,0,99,0,638,8935322.49990845,17910.0417535664
10,101,Urban Center,Aurora-Licton Springs,CNTR,326.925675927488,0.5108213686367,5Y24,8698,4007,46.1,4213,1.1,59.6,4477,27.4,30.5,6.9,4,2699,64.1,1514,35.9,8.8,3.5,16.9,81587,58.2,71.5,51.3,19.7,26.605435548382,12.8867210813214,13.6942440733624,354,684,490,33.4,4667,4031,4691,714,0,1446,105,70,615,1057,1293,2920,1728,79,4334,6378,1427,3043,1078,732,706,1943,1826,225,251,0,1225,1191,2012,49,47,459,826,1475,985,379,89,8014,702,8698,305,8344,2542,578,169,26,0,38,105,1234,1252,305,7268,8525,3667,3383,5142,2450,925,1499,3949,809,845,325,530,413,357,7524,173,8032,1345,6687,229,8698,691,325,106,178,270,147,6981,1293,100,0,0,27,73,7324,755,258,6246,2485,2077,6847,3855,2992,35.9,52.7,13.1,109,61,61,68,554,14240882.4436035,20402.7996528096
11,107,Urban Center,Eastlake,CNTR,199.246388999634,0.311322482811928,5Y24,5935,1460,24.6,3632,0.8,82.3,3965,14.8,14.2,2.5,0.8,2446,67.3,1186,32.7,10,1.2,14.8,107162,53.5,75.1,46.3,17.6,29.7872399585164,18.2286866940744,19.8999842351335,45,168,789,36.7,2745,3190,4475,119,0,454,0,58,417,412,910,2722,1845,43,4257,4416,1594,1550,653,422,402,1427,698,96,143,56,587,656,2194,480,88,716,1158,1194,500,44,20,5767,576,5935,73,5890,837,145,30,0,12,18,0,801,787,214,5173,5935,2065,2342,3593,1943,683,1260,3361,249,687,0,245,112,539,4978,0,5767,941,4826,284,5935,268,489,51,108,106,21,4892,910,72,20,19,33,0,4961,617,326,4285,1571,1803,4755,2272,2483,0,0,14.8,81,0,20,0,538,8679172.7048645,20594.5327293864
12,204,Urban Center,Rainier Beach,CNTR,346.080207018056,0.540750323465712,5Y24,6677,5448,81.6,2449,21.3,25.9,2605,35,48.2,22.3,13.6,1579,64.5,870,35.5,12.5,7.9,19.5,38200,36.6,41.9,29,40.3,19.2932154587264,7.07639428761735,7.52715684738391,438,1972,700,35.1,2933,3744,1229,2530,0,1632,0,76,234,976,1439,1010,957,870,1060,3189,432,1342,622,474,249,624,1353,324,189,18,912,523,717,453,264,159,569,883,507,300,31,4690,588,6662,526,6239,3006,1390,333,99,0,63,171,916,633,135,4086,6559,5483,2177,4382,896,603,293,981,1010,610,183,546,884,489,4005,118,4868,1262,3591,261,6675,759,880,444,390,117,99,3986,1439,269,92,0,177,0,3885,700,207,2887,1027,511,3558,1834,1724,15,18.6,20.7,873,154,294,67,507,15075253.8177338,23111.8102854283
13,301,Regional Center,Northgate,CNTR,412.018061009293,0.64377822032702,5Y24,9968,4716,47.3,5295,7,56.7,5643,11.7,33.2,9.4,6,4242,80.1,1053,19.9,17.3,7.7,17.9,56064,39.3,48.9,32.2,24.6,24.1931141940284,12.851378376543,13.6960015446331,546,1113,1655,34.8,4887,5081,5252,829,17,1999,0,37,856,978,2108,3187,2264,566,4568,5663,1689,2140,1013,1247,519,1608,1121,422,293,11,659,412,1736,2836,273,899,1919,1892,280,176,129,8837,1532,9950,763,9422,3125,888,317,121,0,111,85,2212,734,245,8055,9822,5627,2540,7282,2082,1031,1026,3690,903,656,261,365,879,1288,7200,146,8909,2666,6243,368,9950,857,618,288,266,181,234,7506,2108,329,11,69,151,98,7074,1075,353,5613,1991,1704,6470,3480,2990,31.1,36.3,24.2,242,109,86,49,1283,17947506.7376451,28338.0761428736
14,305,Urban Center,Mt Baker,CNTR,491.257682008123,0.767590128137691,5Y24,7680,5250,68.4,3355,15.6,51.3,3477,42.8,37.2,19.3,20.7,1961,58.5,1394,41.5,16.6,8.2,12.6,69114,41.8,60.8,21.5,21.4,15.6333433171087,6.82940974334632,7.07775191583164,248,1416,1339,40.4,3982,3698,2430,1474,0,2207,17,78,776,698,1705,1650,1313,939,3096,4138,1137,1535,521,801,586,1176,795,204,109,131,1488,807,586,596,70,220,733,979,933,403,87,6118,1014,7534,616,7432,2761,1431,693,79,0,430,184,1109,985,263,6031,7414,5206,3628,3786,1403,1036,354,2542,718,407,130,392,857,854,4925,266,6397,2074,4323,134,7534,417,526,349,114,149,55,5924,1705,171,0,44,55,72,4787,567,358,3947,1618,1029,4398,2353,2045,31,0,26.4,474,213,327,0,885,21399184.6282501,34899.6468331104
15,413,Regional Center,Downtown,CNTR,952.080916850457,1.48762643257884,5Y24,43363,24811,57.2,27990,6.8,67.8,33150,1.5,40,11.6,10.6,23194,82.9,4796,17.1,14,5,11.1,109865,56.3,73.4,51.1,25.4,45.5454985312042,29.3987617067178,34.8184691167451,347,1036,5396,36.9,24505,18858,18552,2793,154,15725,196,449,2645,2849,6440,21550,17773,2616,26232,29504,11579,4807,3261,14039,6239,6829,3169,1033,421,234,505,229,4277,28139,1482,9755,10813,6774,341,174,133,40692,5716,41997,2104,43016,17198,5001,2971,217,372,2273,109,8588,3305,745,38715,39930,14097,7956,31974,15763,4730,11015,22116,2595,3494,512,999,753,3939,36931,3433,42390,10861,31212,1496,41786,3343,3178,1209,1431,819,652,31154,6440,460,0,365,75,20,35324,4630,1397,28646,14609,8941,32618,19077,13541,11.9,12.5,15.6,457,62,225,32,4380,41472644.7386885,49081.9022793664
16,125,Urban Center,Othello,CNTR,353.441739237088,0.55225271755795,5Y24,12488,9755,78.1,4423,19.6,35.4,4966,43.7,54.5,34.8,20.7,2634,59.6,1789,40.4,19.9,6.5,22.8,45938,39.7,46.3,23.3,34.5,35.3325558745711,12.5140850923469,14.0504061877899,414,2578,1704,34.8,6318,6170,2733,3585,0,4515,27,97,687,844,2704,1719,1249,1696,3068,6189,1308,2498,1412,918,567,1548,1560,637,385,184,2168,1060,479,1259,580,647,579,858,1242,649,448,9895,1974,12473,814,12074,6585,4205,914,59,46,630,179,1477,1057,208,8672,12401,10106,5495,6906,1756,1253,401,2323,1844,1011,374,757,1367,1285,8206,87,10243,3652,6576,267,12438,863,1802,568,305,624,124,8152,2704,391,182,98,93,18,7885,1134,337,5907,1677,1200,7018,3516,3502,11.8,0.2,37.1,1173,157,545,1,1641,15395922.1612396,21630.3502225159
17,102,Urban Center,Greenwood,CNTR,172.134486282816,0.2689601348169,5Y24,4589,1538,33.5,2426,1.8,71.7,2638,45.5,21.9,6.8,7.2,1375,56.7,1051,43.3,7.5,1.7,8.1,95247,60.9,80.8,48.1,9.9,26.6593876630874,14.093631394781,15.3252265537644,300,599,334,33.7,2239,2350,3051,186,0,477,0,60,297,518,868,1558,998,62,2533,3340,1209,1379,271,269,348,897,638,194,54,0,1201,245,669,523,79,405,527,522,598,329,45,3958,298,4557,78,4289,939,291,174,131,18,25,0,425,829,156,3532,4575,2296,2279,2296,1477,701,749,2337,345,456,79,138,453,224,3656,14,4046,549,3465,110,4474,59,103,92,35,116,39,4030,868,0,0,0,0,0,3626,100,62,3211,1326,1316,3560,1716,1844,32.9,14.3,11,114,56,102,17,267,7498178.22241211,15122.1139967222
18,103,Urban Center,Crown Hill,CNTR,270.92398936457,0.423318733382141,5Y24,4521,1077,23.8,1931,3,78.8,2054,56,9.6,0.8,0.7,624,32.3,1307,67.7,13.4,7.5,6.9,81011,68.7,82.3,55.1,7.3,16.6873373251429,7.12746037930787,7.58146225743054,201,867,392,35.4,2386,2135,3444,36,0,283,0,96,402,260,964,967,499,99,2632,2735,1146,1137,188,128,230,593,518,187,41,20,1150,410,436,58,0,83,229,591,738,154,136,3654,489,4521,339,4320,414,33,14,14,0,0,0,187,1064,249,3338,4521,3019,3311,1210,1326,793,533,2057,210,362,45,115,565,324,3262,0,3680,831,2849,60,4521,89,136,25,42,36,0,4193,964,34,9,0,25,0,3132,159,7,2568,1301,1011,3036,1619,1417,23.2,31.5,23.6,327,99,50,23,456,11801448.9766846,18666.0919020653
19,203,Urban Center,Wallingford,CNTR,257.868388310368,0.402919356734949,5Y24,7638,2456,32.2,3916,1.4,81.5,4100,30.5,19.3,1.8,0.4,2663,68,1253,32,7.6,4.7,11.1,92108,56.8,86.3,42,13.5,29.6197608789759,15.1860413199882,15.8995836087721,290,1217,605,33.3,3478,4160,5182,84,0,819,20,19,630,884,1282,2634,1954,83,4801,4886,1748,2031,541,433,479,1449,931,212,27,40,1251,680,1628,541,45,590,1233,860,571,420,242,6421,491,7638,361,7348,1417,134,14,0,14,0,0,1280,936,153,5891,7618,4094,3516,4102,2226,1106,1106,3625,398,686,67,176,705,532,5816,20,6486,1297,5189,237,7638,278,282,79,46,242,105,6606,1282,27,0,11,16,0,5681,475,242,4827,2097,1682,5374,2534,2840,6.4,12.8,10.4,559,38,231,34,408,11232746.9946594,18916.6197974947
